date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2007-10-23 09:30:00,0,1404,opening,10000.0,0.0,1.0,2,10,6.73,151.46,1.320381785849003
2007-10-23 16:00:00,0,1405,holding,9995.238854642454,-4.761145357546784,1.0,2,10,6.65,151.76,1.320381785849003
2007-10-24 09:30:00,0,1406,holding,10002.400954464623,2.4009544646225,1.0,2,10,6.64,151.21,1.319177843327817
2007-10-24 16:00:00,0,1407,holding,9998.83592364283,-1.1640763571695678,1.0,2,10,6.64,151.48,1.319177843327817
2007-10-25 09:30:00,0,1408,holding,9996.191274606887,-3.808725393113084,1.0,2,10,6.6,151.65,1.3187757236971631
2007-10-25 16:00:00,0,1409,holding,9992.982549213773,-7.017450786226154,1.0,2,10,6.53,151.84,1.3187757236971631
2007-10-26 09:30:00,0,1410,holding,9977.773891426416,-22.226108573583975,1.0,2,10,6.62,153.06,1.3188708872365302
2007-10-26 16:00:00,0,1411,holding,9970.179753425662,-29.82024657433843,1.0,2,10,6.6,153.62,1.3188708872365302
2007-10-29 09:30:00,0,1412,closing,9966.28656988953,-33.71343011047036,1.0,2,10,6.62,153.93,1.322410570554482
2008-01-23 09:30:00,1,1528,opening,9966.28656988953,0.0,1.0,2,10,4.86,127.09,1.4241663941739393
2008-01-23 16:00:00,1,1529,holding,9870.970505003954,-95.31606488557584,1.0,2,10,4.97,133.86,1.4241663941739393
2008-01-24 09:30:00,1,1530,holding,9862.440673360075,-103.84589652945394,1.0,2,10,5.0,134.48,1.3904856113535782
2008-01-24 16:00:00,1,1531,holding,9853.577424749788,-112.70914513974131,1.0,2,10,4.84,134.99,1.3904856113535782
2008-01-25 09:30:00,1,1532,holding,9833.130095558345,-133.1564743311849,1.0,2,10,4.96,136.51,1.3852086002918231
2008-01-25 16:00:00,1,1533,holding,9879.34866943618,-86.93790045334923,1.0,2,10,4.64,133.04,1.3852086002918231
2008-01-28 09:30:00,1,1534,closing,9875.615503368997,-90.67106652053187,1.0,2,10,4.58,133.26,1.3982474828125093
2008-04-24 09:30:00,2,1656,opening,9875.615503368997,0.0,1.0,2,10,5.9,138.08,1.4963445088536322
2008-04-24 16:00:00,2,1657,holding,9873.32427654775,-2.2912268212484292,1.0,2,10,6.03,138.32,1.4963445088536322
2008-04-25 09:30:00,2,1658,holding,9857.714121401244,-17.90138196775308,1.0,2,10,6.1,139.41,1.4981334241353719
2008-04-25 16:00:00,2,1659,holding,9854.471066834423,-21.144436534574943,1.0,2,10,6.06,139.6,1.4981334241353719
2008-04-28 09:30:00,2,1660,holding,9850.281302209632,-25.334201159365133,1.0,2,10,6.06,139.88,1.497557439380909
2008-04-28 16:00:00,2,1661,holding,9854.922163481766,-20.693339887231048,1.0,2,10,6.15,139.63,1.497557439380909
2008-04-29 09:30:00,2,1662,closing,9858.113390303015,-17.502113065982194,1.0,2,10,6.11,139.39,1.4985429502787009
2008-07-22 09:30:00,3,1778,opening,9858.113390303015,0.0,1.0,2,10,5.32,125.15,1.5125818653851995
2008-07-22 16:00:00,3,1779,holding,9827.57023283954,-30.543157463475126,1.0,2,10,5.79,127.48,1.5125818653851995
2008-07-23 09:30:00,3,1780,holding,9822.36864719146,-35.7447431115544,1.0,2,10,5.89,127.89,1.5314629759708511
2008-07-23 16:00:00,3,1781,holding,9818.633417968382,-39.47997233463275,1.0,2,10,5.94,128.17,1.5314629759708511
