date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2006-07-26 09:30:00,0,778,opening,10000.0,0.0,1.0,2,10,34.49,126.59,0.6567707901038372
2006-07-26 16:00:00,0,779,holding,9998.02375010375,-1.9762498962491672,1.0,2,10,34.45,126.83,0.6567707901038372
2006-07-27 09:30:00,0,780,holding,9997.23989615323,-2.760103846768353,1.0,2,10,34.7,127.33,0.6563942844192828
2006-07-27 16:00:00,0,781,holding,10001.611875051876,1.6118750518754077,1.0,2,10,34.73,126.71,0.6563942844192828
2006-07-28 09:30:00,0,782,holding,10000.472916839584,0.4729168395846589,1.0,2,10,34.8,126.99,0.6558782402886262
2006-07-28 16:00:00,0,783,holding,9998.870886017557,-1.1291139824433694,1.0,2,10,35.29,127.98,0.6558782402886262
2006-07-31 09:30:00,0,784,closing,10001.772552545888,1.7725525458889413,1.0,2,10,35.37,127.66,0.6598533160973699
2009-01-27 09:30:00,1,2038,opening,10001.772552545888,0.0,1.0,2,10,58.8,84.13,0.7234321759362979
2009-01-27 16:00:00,1,2039,holding,9996.078823842143,-5.693728703745173,1.0,2,10,58.52,84.53,0.7234321759362979
2009-01-28 09:30:00,1,2040,holding,9994.350642152134,-7.421910393753981,1.0,2,10,59.7,86.4,0.7228389909829068
2009-01-28 16:00:00,1,2041,holding,9982.188663610365,-19.58388893552329,1.0,2,10,59.2,87.39,0.7228389909829068
2009-01-29 09:30:00,1,2042,holding,9987.24859546235,-14.523957083538688,1.0,2,10,58.78,86.11,0.7232209696063225
2009-01-29 16:00:00,1,2043,holding,9992.134137406956,-9.63841513893243,1.0,2,10,58.14,84.55,0.7232209696063225
2009-01-30 09:30:00,1,2044,holding,9992.62337905043,-9.149173495458566,1.0,2,10,58.5,84.98,0.7229078263811977
2009-01-30 16:00:00,1,2045,holding,10003.37717083306,1.6046182871719128,1.0,2,10,58.02,82.83,0.7229078263811977
2009-02-02 09:30:00,1,2046,closing,10008.492416249857,6.719863703969247,1.0,2,10,57.62,81.57,0.7206248846725707
2009-04-23 09:30:00,2,2158,opening,10008.492416249857,0.0,1.0,2,10,54.75,84.71,0.695500107894931
2009-04-23 16:00:00,2,2159,holding,10009.40211553775,0.9096992878933519,1.0,2,10,55.3,85.37,0.695500107894931
2009-04-24 09:30:00,2,2160,holding,10003.511814825644,-4.980601424213123,1.0,2,10,55.17,86.03,0.695190127374883
2009-04-24 16:00:00,2,2161,holding,9990.530164145906,-17.96225210395115,1.0,2,10,54.31,86.66,0.695190127374883
2009-04-27 09:30:00,2,2162,holding,9993.246065203277,-15.246351046580937,1.0,2,10,53.9,85.68,0.6954977790113788
2009-04-27 16:00:00,2,2163,holding,9998.033265030645,-10.459151219212767,1.0,2,10,54.49,85.84,0.6954977790113788
2009-04-28 09:30:00,2,2164,closing,9999.68411596933,-8.808300280526884,1.0,2,10,54.05,84.97,0.6952409318370443
2011-01-25 09:30:00,3,3044,opening,9999.68411596933,0.0,1.0,2,10,75.54,128.76,0.6575618424187519
2011-01-25 16:00:00,3,3045,holding,9996.388112415414,-3.296003553916883,1.0,2,10,75.48,129.17,0.6575618424187519
2011-01-26 09:30:00,3,3046,holding,9995.383914519673,-4.300201449657037,1.0,2,10,75.59,129.49,0.657503761125212
2011-01-26 16:00:00,3,3047,holding,9990.00030320332,-9.683812766010666,1.0,2,10,75.17,129.67,0.657503761125212
2011-01-27 09:30:00,3,3048,holding,9992.403034650593,-7.2810813187362475,1.0,2,10,75.43,129.7,0.6575787770121445
2011-01-27 16:00:00,3,3049,holding,9979.69610530758,-19.988010661750888,1.0,2,10,74.35,129.99,0.6575787770121445
2011-01-28 09:30:00,3,3050,holding,9978.909762543952,-20.774353425378767,1.0,2,10,74.37,130.14,0.6575694784309009
2011-01-28 16:00:00,3,3051,holding,9983.922759130486,-15.761356838845085,1.0,2,10,73.28,127.72,0.6575694784309009
2011-01-31 09:30:00,3,3052,closing,9986.82129268202,-12.862823287310716,1.0,2,10,73.8,128.07,0.6575690525177278
2021-04-29 16:00:00,4,8209,opening,9986.82129268202,0.0,1.0,2,10,235.21,420.06,0.8253568357009458
2021-04-30 09:30:00,4,8210,holding,9994.777463789553,7.956171107532959,1.0,2,10,234.0,417.63,0.8250991635677897
2021-04-30 16:00:00,4,8211,holding,10018.301141347365,31.479848665346072,1.0,2,10,236.08,417.3,0.8250991635677897
2021-05-03 09:30:00,4,8212,holding,10019.821040746936,32.999748064915934,1.0,2,10,237.99,419.43,0.8258982577866706
2021-05-03 16:00:00,4,8213,holding,10005.672929826058,18.851637144037646,1.0,2,10,235.56,418.2,0.8258982577866706
2021-05-04 09:30:00,4,8214,holding,10013.953030426488,27.13173774446769,1.0,2,10,234.63,416.07,0.8263769089482752
2021-05-04 16:00:00,4,8215,closing,10009.967136187142,23.145843505122027,1.0,2,10,233.86,415.62,0.8263769089482752
