date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2005-12-23 09:30:00,0,486,opening,10000.0,0.0,1.0,1,10,10.84,126.79,0.7456560155588128
2005-12-23 16:00:00,0,487,holding,10000.623696804667,0.6236968046676615,1.0,1,10,10.88,126.76,0.7456560155588128
2005-12-27 09:30:00,0,488,closing,9999.930647179774,-0.06935282022642417,1.0,1,10,10.93,126.92,0.7459938741025106
2006-03-22 09:30:00,1,604,opening,9999.930647179774,0.0,1.0,1,10,10.61,129.51,0.7365518393648064
2006-03-22 16:00:00,1,605,holding,9995.9226461773,-4.008001002473847,1.0,1,10,10.85,130.38,0.7365518393648064
2006-03-23 09:30:00,1,606,closing,9996.85381875241,-3.0768284273632163,1.0,1,10,10.84,130.24,0.736293955716076
2006-06-28 09:30:00,2,740,opening,9996.85381875241,0.0,1.0,1,10,10.19,124.19,0.7570492217608654
2006-06-28 16:00:00,2,741,holding,9990.41434311055,-6.439475641860852,1.0,1,10,9.97,124.75,0.7570492217608654
2006-06-29 09:30:00,2,742,closing,9987.307621612625,-9.546197139784775,1.0,1,10,10.0,125.2,0.7532296092710589
2006-09-22 09:30:00,3,860,opening,9987.307621612625,0.0,1.0,1,10,10.77,131.67,0.766440872163392
2006-09-22 16:00:00,3,861,holding,9989.140503356952,1.8328817443267083,1.0,1,10,10.8,131.47,0.766440872163392
2006-09-25 09:30:00,3,862,closing,9987.247757089326,-0.0598645232980434,1.0,1,10,10.81,131.73,0.7536252746784196
2006-12-21 09:30:00,4,986,opening,9987.247757089326,0.0,1.0,1,10,12.4,142.27,0.7613338164125742
2006-12-21 16:00:00,4,987,holding,9993.596426896009,6.348669806681764,1.0,1,10,12.54,141.62,0.7613338164125742
2006-12-22 09:30:00,4,988,closing,9992.744160132726,5.496403043399402,1.0,1,10,12.47,141.64,0.7622079003887974
2007-03-23 09:30:00,5,1108,opening,9992.744160132726,0.0,1.0,1,10,13.38,143.28,0.7714283472086475
2007-03-23 16:00:00,5,1109,holding,9994.395588950798,1.6514288180706016,1.0,1,10,13.63,143.39,0.7714283472086475
2007-03-26 09:30:00,5,1110,closing,9993.547017768868,0.8028576361409843,1.0,1,10,13.63,143.5,0.7723484525661606
2007-09-21 09:30:00,6,1360,opening,9993.547017768868,0.0,1.0,1,10,15.06,152.71,0.7768631541535416
2007-09-21 16:00:00,6,1361,holding,9991.795805109605,-1.7512126592637223,1.0,1,10,14.31,151.97,0.7768631541535416
2007-09-24 09:30:00,6,1362,closing,9989.599920915913,-3.94709685295458,1.0,1,10,14.44,152.42,0.7821778387810936
2007-12-20 09:30:00,7,1486,opening,9989.599920915913,0.0,1.0,1,10,16.45,146.84,0.8066042160478523
2007-12-20 16:00:00,7,1487,holding,9990.422562602333,0.8226416864190839,1.0,1,10,16.5,146.8,0.8066042160478523
2007-12-21 09:30:00,7,1488,closing,9987.52491857086,-2.075002345053602,1.0,1,10,16.67,147.37,0.8055171257441579
2008-03-20 09:30:00,8,1608,opening,9987.52491857086,0.0,1.0,1,10,16.18,130.05,0.8240571838875986
2008-03-20 16:00:00,8,1609,holding,9977.196557737941,-10.328360832918255,1.0,1,10,16.82,132.08,0.8240571838875986
2008-03-24 09:30:00,8,1610,closing,9966.360654376123,-21.164264194735637,1.0,1,10,16.75,133.31,0.8278479469862927
2008-06-26 09:30:00,9,1744,opening,9966.360654376123,0.0,1.0,1,10,15.21,130.57,0.848851965954599
2008-06-26 16:00:00,9,1745,holding,9982.923790379462,16.563136003337643,1.0,1,10,14.88,128.23,0.848851965954599
2008-06-27 09:30:00,9,1746,closing,9982.999364396484,16.63871002036024,1.0,1,10,14.93,128.28,0.8503342346658215
2008-09-25 09:30:00,10,1870,opening,9982.999364396484,0.0,1.0,1,10,15.61,119.4,0.8820473854720193
2008-09-25 16:00:00,10,1871,holding,9977.138905738424,-5.860458658061067,1.0,1,10,16.25,120.79,0.8820473854720193
2008-09-26 09:30:00,10,1872,closing,9992.327034493675,9.327670097190573,1.0,1,10,16.04,118.83,0.8819895906323088
2008-12-18 09:30:00,11,1988,opening,9992.327034493675,0.0,1.0,1,10,12.67,91.4,0.9227206893131801
2008-12-18 16:00:00,11,1989,holding,10016.796441038183,24.469406544508097,1.0,1,10,13.17,89.29,0.9227206893131801
2008-12-19 09:30:00,11,1990,closing,10020.049610347878,27.72257585420325,1.0,1,10,13.32,89.1,0.9140420391387807
2009-06-25 09:30:00,12,2246,opening,10020.049610347878,0.0,1.0,1,10,12.66,89.67,0.9122326893037009
2009-06-25 16:00:00,12,2247,holding,9999.664802535659,-20.384807812219158,1.0,1,10,12.82,92.08,0.9122326893037009
2009-06-26 09:30:00,12,2248,closing,10001.1927238725,-18.856886475377674,1.0,1,10,12.69,91.77,0.9106079589614614
2009-12-18 09:30:00,13,2492,opening,10001.1927238725,0.0,1.0,1,10,16.1,110.2,0.9036271024667126
2009-12-18 16:00:00,13,2493,holding,10001.202361162254,0.009637289753391034,1.0,1,10,16.11,110.21,0.9036271024667126
2009-12-21 09:30:00,13,2494,closing,9996.432412098686,-4.760311773813636,1.0,1,10,16.13,110.76,0.9033167886114392
2010-03-18 09:30:00,14,2612,opening,9996.432412098686,0.0,1.0,1,10,18.34,117.11,0.9024816634309597
