date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2005-12-23 09:30:00,0,486,opening,10000.0,0.0,1.0,1,10,10.84,126.79,0.7456560155588128
2005-12-23 16:00:00,0,487,holding,10000.623696804667,0.6236968046676615,1.0,1,10,10.88,126.76,0.7456560155588128
2005-12-27 09:30:00,0,488,closing,9999.930647179774,-0.06935282022642417,1.0,1,10,10.93,126.92,0.7459938741025106
2006-03-22 09:30:00,1,604,opening,9999.930647179774,0.0,1.0,1,10,10.61,129.51,0.7365518393648064
2006-03-22 16:00:00,1,605,holding,9995.9226461773,-4.008001002473847,1.0,1,10,10.85,130.38,0.7365518393648064
2006-03-23 09:30:00,1,606,holding,9996.85381875241,-3.0768284273632163,1.0,1,10,10.84,130.24,0.736293955716076
2006-03-23 16:00:00,1,607,holding,9996.911336143585,-3.0193110361890003,1.0,1,10,10.75,130.11,0.736293955716076
2006-03-24 09:30:00,1,608,holding,9997.895198350823,-2.035448828951201,1.0,1,10,10.76,129.99,0.7370707405315499
2006-03-24 16:00:00,1,609,holding,9996.17478430422,-3.755862875553765,1.0,1,10,10.75,130.21,0.7370707405315499
2006-03-27 09:30:00,1,610,closing,9997.300577615077,-2.6300695646970587,1.0,1,10,10.73,130.03,0.7364677735479404
2006-06-28 09:30:00,2,740,opening,9997.300577615077,0.0,1.0,1,10,10.19,124.19,0.7570492217608654
2006-06-28 16:00:00,2,741,holding,9990.861101973216,-6.439475641860852,1.0,1,10,9.97,124.75,0.7570492217608654
2006-06-29 09:30:00,2,742,holding,9987.754380475291,-9.546197139784775,1.0,1,10,10.0,125.2,0.7532296092710589
2006-06-29 16:00:00,2,743,holding,9973.283461584842,-24.017116030234646,1.0,1,10,10.12,127.27,0.7532296092710589
2006-06-30 09:30:00,2,744,holding,9971.969363141321,-25.331214473756383,1.0,1,10,10.14,127.47,0.7534390444223379
2006-06-30 16:00:00,2,745,holding,9973.686281273547,-23.61429634153034,1.0,1,10,10.13,127.23,0.7534390444223379
2006-07-03 09:30:00,2,746,closing,9972.172182830025,-25.128394785052098,1.0,1,10,10.13,127.43,0.7529683029243394
2006-09-22 09:30:00,3,860,opening,9972.172182830025,0.0,1.0,1,10,10.77,131.67,0.766440872163392
2006-09-22 16:00:00,3,861,holding,9974.005064574352,1.8328817443267083,1.0,1,10,10.8,131.47,0.766440872163392
2006-09-25 09:30:00,3,862,closing,9972.112318306727,-0.0598645232980434,1.0,1,10,10.81,131.73,0.7536252746784196
2006-12-21 09:30:00,4,986,opening,9972.112318306727,0.0,1.0,1,10,12.4,142.27,0.7613338164125742
2006-12-21 16:00:00,4,987,holding,9978.46098811341,6.348669806681764,1.0,1,10,12.54,141.62,0.7613338164125742
2006-12-22 09:30:00,4,988,holding,9977.608721350127,5.496403043399402,1.0,1,10,12.47,141.64,0.7622079003887974
2006-12-22 16:00:00,4,989,holding,9984.584592316198,12.472274009471205,1.0,1,10,12.49,140.75,0.7622079003887974
2006-12-26 09:30:00,4,990,closing,9984.127792026351,12.015473719623644,1.0,1,10,12.49,140.81,0.7621099053709801
2007-03-23 09:30:00,5,1108,opening,9984.127792026351,0.0,1.0,1,10,13.38,143.28,0.7714283472086475
2007-03-23 16:00:00,5,1109,holding,9985.779220844423,1.6514288180706016,1.0,1,10,13.63,143.39,0.7714283472086475
2007-03-26 09:30:00,5,1110,closing,9984.930649662492,0.8028576361409843,1.0,1,10,13.63,143.5,0.7723484525661606
2007-09-21 09:30:00,6,1360,opening,9984.930649662492,0.0,1.0,1,10,15.06,152.71,0.7768631541535416
2007-09-21 16:00:00,6,1361,holding,9983.17943700323,-1.7512126592637223,1.0,1,10,14.31,151.97,0.7768631541535416
2007-09-24 09:30:00,6,1362,closing,9980.983552809537,-3.94709685295458,1.0,1,10,14.44,152.42,0.7821778387810936
2007-12-20 09:30:00,7,1486,opening,9980.983552809537,0.0,1.0,1,10,16.45,146.84,0.8066042160478523
2007-12-20 16:00:00,7,1487,holding,9981.806194495957,0.8226416864190839,1.0,1,10,16.5,146.8,0.8066042160478523
2007-12-21 09:30:00,7,1488,holding,9978.908550464485,-2.075002345053602,1.0,1,10,16.67,147.37,0.8055171257441579
2007-12-21 16:00:00,7,1489,holding,9971.77835842252,-9.205194387017219,1.0,1,10,16.57,148.13,0.8055171257441579
2007-12-24 09:30:00,7,1490,closing,9965.71278933179,-15.270763477747389,1.0,1,10,16.52,148.82,0.8031351959670311
2008-03-20 09:30:00,8,1608,opening,9965.71278933179,0.0,1.0,1,10,16.18,130.05,0.8240571838875986
2008-03-20 16:00:00,8,1609,holding,9955.384428498872,-10.328360832918255,1.0,1,10,16.82,132.08,0.8240571838875986
2008-03-24 09:30:00,8,1610,closing,9944.548525137054,-21.164264194735637,1.0,1,10,16.75,133.31,0.8278479469862927
2008-06-26 09:30:00,9,1744,opening,9944.548525137054,0.0,1.0,1,10,15.21,130.57,0.848851965954599
2008-06-26 16:00:00,9,1745,holding,9961.111661140392,16.563136003337643,1.0,1,10,14.88,128.23,0.848851965954599
2008-06-27 09:30:00,9,1746,holding,9961.187235157415,16.63871002036024,1.0,1,10,14.93,128.28,0.8503342346658215
2008-06-27 16:00:00,9,1747,holding,9969.153624902074,24.60509976501973,1.0,1,10,15.09,127.53,0.8503342346658215
