date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2006-10-30 09:30:00,0,912,opening,10000.0,0.0,1.0,1,10,67.21,137.66,0.6627053085891353
2006-10-30 16:00:00,0,913,holding,9990.805942037116,-9.194057962883672,1.0,1,10,66.39,137.81,0.6627053085891353
2006-10-31 09:30:00,0,914,holding,9986.182908234785,-13.817091765215427,1.0,1,10,66.1,138.07,0.6650530516085766
2006-10-31 16:00:00,0,915,holding,9999.038483098835,-0.9615169011657548,1.0,1,10,67.2,137.79,0.6650530516085766
2006-11-01 09:30:00,0,916,holding,9996.188850271901,-3.811149728099082,1.0,1,10,67.2,138.22,0.6651584528784426
2006-11-01 16:00:00,0,917,holding,10003.001642468713,3.0016424687130714,1.0,1,10,66.98,136.86,0.6651584528784426
2006-11-02 09:30:00,0,918,closing,10005.021111048774,5.021111048775185,1.0,1,10,66.95,136.51,0.664739733673898
2007-04-30 09:30:00,1,1158,opening,10005.021111048774,0.0,1.0,1,10,78.09,149.64,0.683576508499971
2007-04-30 16:00:00,1,1159,holding,10011.249393913524,6.228282864749598,1.0,1,10,77.79,148.29,0.683576508499971
2007-05-01 09:30:00,1,1160,closing,10012.160744452474,7.139633403699593,1.0,1,10,77.97,148.42,0.6834350716080715
2007-07-30 09:30:00,2,1284,opening,10012.160744452474,0.0,1.0,1,10,85.85,145.93,0.7355379047401385
2007-07-30 16:00:00,2,1285,holding,10007.295444833742,-4.8652996187318,1.0,1,10,86.43,147.38,0.7355379047401385
2007-07-31 09:30:00,2,1286,closing,9998.607834738712,-13.552909713763256,1.0,1,10,86.26,148.33,0.7330376681779268
2007-11-05 09:30:00,3,1422,opening,9998.607834738712,0.0,-1.0,-1,10,87.47,149.64,0.7831682706707039
2007-11-05 16:00:00,3,1423,holding,9991.718824648462,-6.88901009024997,-1.0,-1,10,88.48,150.05,0.7831682706707039
2007-11-06 09:30:00,3,1424,closing,9995.962487640894,-2.6453470978171865,-1.0,-1,10,88.69,150.86,0.7863245180337394
2008-02-04 09:30:00,4,1544,opening,9995.962487640894,0.0,1.0,1,10,82.51,139.21,0.8247388433506109
2008-02-04 16:00:00,4,1545,holding,10002.526357563467,6.563869922573522,1.0,1,10,82.02,137.82,0.8247388433506109
2008-02-05 09:30:00,4,1546,closing,10005.13144781846,9.168960177565047,1.0,1,10,80.73,135.94,0.8215503662215485
2008-05-05 09:30:00,5,1670,opening,10005.13144781846,0.0,1.0,1,10,95.33,141.05,0.8724549408160194
2008-05-05 16:00:00,5,1671,holding,10009.950848688255,4.819400869795295,1.0,1,10,95.62,140.83,0.8724549408160194
2008-05-06 09:30:00,5,1672,closing,10011.804979202947,6.673531384486831,1.0,1,10,95.09,140.01,0.8688859187087308
2008-08-04 09:30:00,6,1796,opening,10011.804979202947,0.0,1.0,1,10,84.06,126.04,0.8279942754952321
2008-08-04 16:00:00,6,1797,holding,10007.898919095647,-3.90606010730002,1.0,1,10,82.8,124.99,0.8279942754952321
2008-08-05 09:30:00,6,1798,holding,9996.870578058046,-14.934401144900919,1.0,1,10,82.55,126.02,0.8269740420945403
2008-08-05 16:00:00,6,1799,holding,9976.895512011457,-34.90946719148952,1.0,1,10,82.49,128.36,0.8269740420945403
2008-08-06 09:30:00,6,1800,closing,9978.610692548142,-33.194286654805694,1.0,1,10,82.38,128.02,0.8243035850220682
