date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2006-02-21 16:00:00,0,563,opening,10000.0,0.0,1.0,2,10,41.87,128.49,1.139695798330979
2006-02-22 09:30:00,0,564,holding,9999.408851764674,-0.5911482353267028,1.0,2,10,42.13,128.77,1.1411025398088963
2006-02-22 16:00:00,0,565,holding,9991.21037277302,-8.789627226981597,1.0,2,10,41.88,129.27,1.1411025398088963
2006-02-23 09:30:00,0,566,holding,9991.810372773018,-8.189627226981646,1.0,2,10,41.94,129.27,1.1411464413824954
2006-02-23 16:00:00,0,567,holding,9990.375794789847,-9.624205210152807,1.0,2,10,41.58,129.08,1.1411464413824954
2006-02-24 09:30:00,0,568,holding,9992.233886050348,-7.766113949652125,1.0,2,10,41.8,129.11,1.1417060540712174
2006-02-24 16:00:00,0,569,closing,9987.114798655355,-12.885201344644813,1.0,2,10,41.63,129.41,1.1417060540712174
2006-05-16 16:00:00,1,681,opening,9987.114798655355,0.0,1.0,1,10,38.45,129.31,1.1497754171969565
2006-05-17 09:30:00,1,682,holding,9992.673361325416,5.558562670060695,1.0,1,10,38.27,128.67,1.1520284523160667
2006-05-17 16:00:00,1,683,holding,10010.9992739184,23.884475263045175,1.0,1,10,38.01,126.85,1.1520284523160667
2006-05-18 09:30:00,1,684,holding,10009.805464207257,22.69066555190131,1.0,1,10,38.5,127.38,1.151251882022326
2006-05-18 16:00:00,1,685,holding,10022.35783658846,35.24303793310569,1.0,1,10,38.41,126.21,1.151251882022326
2006-05-19 09:30:00,1,686,holding,10016.569318834961,29.454520179605723,1.0,1,10,38.59,126.87,1.1523752332833732
2006-05-19 16:00:00,1,687,closing,10017.424835375408,30.31003672005278,1.0,1,10,38.94,127.1,1.1523752332833732
2006-08-15 16:00:00,2,807,opening,10017.424835375408,0.0,1.0,1,10,34.44,128.63,1.1580805965550922
2006-08-16 09:30:00,2,808,holding,10010.534079259178,-6.890756116230116,1.0,1,10,34.55,129.32,1.1578481918460637
2006-08-16 16:00:00,2,809,holding,10004.591100455369,-12.833734920039008,1.0,1,10,34.5,129.79,1.1578481918460637
2006-08-17 09:30:00,2,810,holding,10007.023069708135,-10.401765667273551,1.0,1,10,34.5,129.58,1.157767612726802
2006-08-17 16:00:00,2,811,holding,10004.011707023637,-13.413128351771347,1.0,1,10,34.72,130.03,1.157767612726802
2006-08-18 09:30:00,2,812,holding,10002.55877806915,-14.866057306259462,1.0,1,10,34.76,130.19,1.158483472487706
2006-08-18 16:00:00,2,813,closing,9996.868375086373,-20.55646028903487,1.0,1,10,34.77,130.69,1.158483472487706
2006-11-14 16:00:00,3,935,opening,9996.868375086373,0.0,-1.0,-1,10,37.96,139.62,1.0711258840309774
2006-11-15 09:30:00,3,936,holding,9998.232812144357,1.3644370579843668,-1.0,-1,10,37.77,139.57,1.069263823730851
2006-11-15 16:00:00,3,937,holding,10004.552878622497,7.684503536124004,-1.0,-1,10,37.62,140.02,1.069263823730851
2006-11-16 09:30:00,3,938,holding,10007.251607335427,10.383232249053979,-1.0,-1,10,37.8,140.44,1.0702753576870547
2006-11-16 16:00:00,3,939,holding,10006.508931805009,9.640556718635317,-1.0,-1,10,37.81,140.38,1.0702753576870547
2006-11-17 09:30:00,3,940,holding,10002.088865326868,5.220490240496032,-1.0,-1,10,37.77,139.93,1.0697285277386923
2006-11-17 16:00:00,3,941,closing,10002.23738215862,5.3690070722476335,-1.0,-1,10,38.28,140.42,1.0697285277386923
2007-02-20 16:00:00,4,1063,opening,10002.23738215862,0.0,-1.0,-1,10,41.34,146.04,1.0760457090867661
2007-02-21 09:30:00,4,1064,holding,10002.110385609547,-0.12699654907283364,-1.0,-1,10,40.89,145.61,1.0765700384974766
2007-02-21 16:00:00,4,1065,holding,10001.991754733168,-0.2456274254520216,-1.0,-1,10,41.3,145.98,1.0765700384974766
2007-02-22 09:30:00,4,1066,holding,10004.04498672953,1.8076045709089017,-1.0,-1,10,41.17,146.05,1.0775814020584331
2007-02-22 16:00:00,4,1067,holding,10002.008104453173,-0.22927770544733078,-1.0,-1,10,41.18,145.87,1.0775814020584331
2007-02-23 09:30:00,4,1068,holding,9998.209245031361,-4.028137127260098,-1.0,-1,10,41.42,145.74,1.0772181321840217
2007-02-23 16:00:00,4,1069,closing,9998.07464391138,-4.162738247241836,-1.0,-1,10,40.96,145.3,1.0772181321840217
2007-05-15 16:00:00,5,1181,opening,9998.07464391138,0.0,-1.0,-1,10,38.3,150.57,1.0922028618974478
2007-05-16 09:30:00,5,1182,holding,9998.986710493744,0.9120665823642915,-1.0,-1,10,38.46,150.8,1.0926502842485086
2007-05-16 16:00:00,5,1183,holding,10008.624333388923,10.549689477543723,-1.0,-1,10,38.37,151.6,1.0926502842485086
2007-05-17 09:30:00,5,1184,holding,10008.22148709275,10.146843181369306,-1.0,-1,10,38.17,151.38,1.0925790652809286
2007-05-17 16:00:00,5,1185,holding,10006.047724803231,7.973080891851567,-1.0,-1,10,38.3,151.3,1.0925790652809286
2007-05-18 09:30:00,5,1186,holding,10011.902365122702,13.827721211323174,-1.0,-1,10,38.49,152.01,1.0929080616250213
2007-05-18 16:00:00,5,1187,closing,10014.664802580277,16.590158668897747,-1.0,-1,10,38.88,152.62,1.0929080616250213
2007-08-14 16:00:00,6,1307,opening,10014.664802580277,0.0,-1.0,-1,10,33.52,143.01,1.0970323087159448
2007-08-15 09:30:00,6,1308,holding,10011.583408885,-3.081393695276102,-1.0,-1,10,33.51,142.72,1.1021852774330536
2007-08-15 16:00:00,6,1309,holding,9994.653266098572,-20.011536481704063,-1.0,-1,10,33.36,141.04,1.1021852774330536
2007-08-16 09:30:00,6,1310,holding,9983.940362239624,-30.724440340653402,-1.0,-1,10,33.06,139.79,1.102373931173955
2007-08-16 16:00:00,6,1311,holding,10011.681808570962,-2.982994009315032,-1.0,-1,10,32.82,142.1,1.102373931173955
2007-08-17 09:30:00,6,1312,holding,10038.780907067305,24.116104487027123,-1.0,-1,10,33.84,145.5,1.0861568756971747
2007-08-17 16:00:00,6,1313,closing,10035.414351828449,20.74954924817126,-1.0,-1,10,33.31,144.71,1.0861568756971747
2007-11-13 16:00:00,7,1435,opening,10035.414351828449,0.0,1.0,2,10,29.12,148.08,1.0957278404573203
2007-11-14 09:30:00,7,1436,holding,10024.623054447236,-10.79129738121332,1.0,2,10,29.29,149.22,1.1026700935049525
2007-11-14 16:00:00,7,1437,holding,10039.006835974324,3.5924841458752885,1.0,2,10,29.03,147.67,1.1026700935049525
2007-11-15 09:30:00,7,1438,holding,10051.459842219354,16.04549039090574,1.0,2,10,29.07,146.57,1.100042841441889
2007-11-15 16:00:00,7,1439,holding,10061.845838976065,26.431487147616153,1.0,2,10,28.98,145.54,1.100042841441889
2007-11-16 09:30:00,7,1440,holding,10054.808734604543,19.39438277609468,1.0,2,10,29.12,146.31,1.0949782061114208
2007-11-16 16:00:00,7,1441,closing,10060.006519374921,24.59216754647285,1.0,2,10,29.07,145.79,1.0949782061114208
2008-02-26 16:00:00,8,1575,opening,10060.006519374921,0.0,-1.0,-1,10,28.83,138.36,1.1240161584716784
2008-02-27 09:30:00,8,1576,holding,10053.814390107147,-6.192129267773579,-1.0,-1,10,28.55,137.56,1.1260596148905389
2008-02-27 16:00:00,8,1577,holding,10057.63289675306,-2.3736226218605343,-1.0,-1,10,28.91,138.22,1.1260596148905389
2008-02-28 09:30:00,8,1578,holding,10049.317538400039,-10.68898097488287,-1.0,-1,10,28.64,137.24,1.1256863772128878
2008-02-28 16:00:00,8,1579,holding,10054.458678613693,-5.5478407612281355,-1.0,-1,10,27.71,136.87,1.1256863772128878
2008-02-29 09:30:00,8,1580,holding,10042.083673401103,-17.92284597381855,-1.0,-1,10,27.52,135.6,1.1300718601961832
2008-02-29 16:00:00,8,1581,closing,10031.776185780307,-28.23033359461445,-1.0,-1,10,26.55,133.82,1.1300718601961832
2008-05-20 16:00:00,9,1693,opening,10031.776185780307,0.0,-1.0,-1,10,27.37,141.89,1.1247806508394294
2008-05-21 09:30:00,9,1694,holding,10031.376361259636,-0.3998245206713573,-1.0,-1,10,27.32,141.81,1.1417582340628092
2008-05-21 16:00:00,9,1695,holding,10009.18145016016,-22.594735620146036,-1.0,-1,10,26.93,139.49,1.1417582340628092
2008-05-22 09:30:00,9,1696,holding,10009.406581769657,-22.369604010649724,-1.0,-1,10,26.84,139.43,1.1413089701568244
2008-05-22 16:00:00,9,1697,holding,10009.606406290328,-22.16977948997836,-1.0,-1,10,26.91,139.51,1.1413089701568244
2008-05-23 09:30:00,9,1698,holding,10005.132415296468,-26.643770483839504,-1.0,-1,10,26.84,139.05,1.1409661506671744
2008-05-23 16:00:00,9,1699,closing,9989.973008119632,-41.803177660675736,-1.0,-1,10,26.77,137.64,1.1409661506671744
2008-08-19 16:00:00,10,1819,opening,9989.973008119632,0.0,-1.0,-1,10,25.96,126.99,1.2145977254903604
2008-08-20 09:30:00,10,1820,holding,9994.331399021594,4.358390901961504,-1.0,-1,10,26.01,127.39,1.2157986803702352
2008-08-20 16:00:00,10,1821,holding,9997.039134700026,7.066126580393187,-1.0,-1,10,25.97,127.58,1.2157986803702352
2008-08-21 09:30:00,10,1822,holding,9990.657973578456,0.6849654588231913,-1.0,-1,10,25.6,126.75,1.2142345588617902
2008-08-21 16:00:00,10,1823,holding,9993.711249696104,3.7382415764719523,-1.0,-1,10,26.57,127.8,1.2142345588617902
2008-08-22 09:30:00,10,1824,holding,10003.07824990787,13.105241788237961,-1.0,-1,10,26.69,128.67,1.2175566094886237
2008-08-22 16:00:00,10,1825,closing,10010.781307617675,20.80829949804373,-1.0,-1,10,27.11,129.65,1.2175566094886237
2008-11-18 16:00:00,11,1947,opening,10010.781307617675,0.0,-1.0,-1,10,20.71,87.08,1.146963056832925
2008-11-19 09:30:00,11,1948,holding,9999.66183985273,-11.119467764945236,-1.0,-1,10,20.48,85.91,1.145649017852195
2008-11-19 16:00:00,11,1949,holding,9956.280769046398,-54.500538571277204,-1.0,-1,10,19.76,81.5,1.145649017852195
2008-11-20 09:30:00,11,1950,holding,9943.767375167787,-67.01393244988833,-1.0,-1,10,19.44,80.13,1.1347354190455365
2008-11-20 16:00:00,11,1951,holding,9899.289504108006,-111.49180350966913,-1.0,-1,10,18.52,75.45,1.1347354190455365
2008-11-21 09:30:00,11,1952,holding,9919.343461550348,-91.43784606732743,-1.0,-1,10,18.82,77.46,1.13374504186329
2008-11-21 16:00:00,11,1953,closing,9938.270900521105,-72.51040709656914,-1.0,-1,10,19.29,79.52,1.13374504186329
2009-02-24 16:00:00,12,2077,opening,9938.270900521105,0.0,-1.0,-1,10,20.67,77.48,1.111293105423055
2009-02-25 09:30:00,12,2078,holding,9937.692503962668,-0.5783965584384221,-1.0,-1,10,20.35,77.14,1.112468416128638
2009-02-25 16:00:00,12,2079,holding,9935.092012578025,-3.1788879430805994,-1.0,-1,10,20.31,76.87,1.112468416128638
2009-02-26 09:30:00,12,2080,holding,9943.249297079543,4.978396558438277,-1.0,-1,10,20.55,77.82,1.1123491960123222
