date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2006-09-13 09:30:00,0,846,opening,10000.0,0.0,1.0,1,10,157.7,131.64,1.0324693889327705
2006-09-13 16:00:00,0,847,holding,10025.61167754419,25.61167754419005,1.0,1,10,160.86,132.22,1.0324693889327705
2006-09-14 09:30:00,0,848,closing,10017.196097955415,17.196097955415027,1.0,1,10,159.75,131.96,1.0344268337633384
2006-12-13 09:30:00,1,974,opening,10017.196097955415,0.0,1.0,1,10,200.16,142.23,1.088126410165169
2006-12-13 16:00:00,1,975,holding,10002.61335303201,-14.582744923405496,1.0,1,10,198.31,141.87,1.088126410165169
2006-12-14 09:30:00,1,976,closing,10011.622165673027,-5.5739322823892135,1.0,1,10,199.2,141.86,1.088317152720476
2007-03-13 16:00:00,2,1093,opening,10011.622165673027,0.0,1.0,1,10,199.03,138.25,1.0803452966056502
2007-03-14 09:30:00,2,1094,holding,10019.377544139137,7.755378466109745,1.0,1,10,200.0,138.43,1.0812131475409013
2007-03-14 16:00:00,2,1095,closing,10011.694609117989,0.07244344496183608,1.0,1,10,200.15,139.28,1.0812131475409013
2007-06-15 09:30:00,3,1224,opening,10011.694609117989,0.0,1.0,1,10,227.33,153.14,1.0802297466781936
2007-06-15 16:00:00,3,1225,holding,10001.050769940663,-10.643839177325486,1.0,1,10,226.19,153.07,1.0802297466781936
2007-06-18 09:30:00,3,1226,closing,10001.302057725961,-10.392551392027773,1.0,1,10,226.55,153.38,1.0782952182808947
2007-09-21 09:30:00,4,1360,opening,10001.302057725961,0.0,1.0,1,10,205.56,152.71,1.2288490644235828
2007-09-21 16:00:00,4,1361,holding,10054.595540802697,53.293483076734496,1.0,1,10,209.98,151.97,1.2288490644235828
2007-09-24 09:30:00,4,1362,closing,10059.16572001279,57.86366228682871,1.0,1,10,210.99,152.42,1.2262037442011022
2008-03-19 09:30:00,5,1606,opening,10059.16572001279,0.0,1.0,1,10,177.94,134.14,1.5075770828267667
2008-03-19 16:00:00,5,1607,holding,10002.255164576773,-56.910555436017496,1.0,1,10,166.49,130.32,1.5075770828267667
2008-03-20 09:30:00,5,1608,closing,10004.425622700404,-54.74009731238549,1.0,1,10,166.3,130.05,1.514252615199016
