date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2007-07-24 09:30:00,0,1276,opening,10000.0,0.0,1.0,1,10,63.0,153.12,1.1908556004269082
2007-07-24 16:00:00,0,1277,holding,10003.37357192777,3.373571927769663,1.0,1,10,61.17,151.3,1.1908556004269082
2007-07-25 09:30:00,0,1278,holding,9999.899411604696,-0.10058839530407981,1.0,1,10,61.68,152.02,1.1857439081406869
2007-07-25 16:00:00,0,1279,holding,10005.281919566447,5.281919566446174,1.0,1,10,61.73,151.61,1.1857439081406869
2007-07-26 09:30:00,0,1280,holding,10016.392069092508,16.39206909250848,1.0,1,10,61.15,150.19,1.1911622286175558
2007-07-26 16:00:00,0,1281,holding,10033.333635621771,33.33363562177223,1.0,1,10,60.26,148.02,1.1911622286175558
2007-07-27 09:30:00,0,1282,holding,10034.771009980961,34.77100998096118,1.0,1,10,60.63,148.21,1.1881952965157485
2007-07-27 16:00:00,0,1283,holding,10050.887533594196,50.887533594195205,1.0,1,10,58.55,145.11,1.1881952965157485
2007-07-30 09:30:00,0,1284,closing,10043.322517670695,43.32251767069471,1.0,1,10,58.77,145.93,1.190853981115427
2007-10-23 09:30:00,1,1404,opening,10043.322517670695,0.0,1.0,1,10,58.55,151.46,1.118550684844119
2007-10-23 16:00:00,1,1405,holding,10041.066865616163,-2.2556520545321717,1.0,1,10,58.66,151.76,1.118550684844119
2007-10-24 09:30:00,1,1406,holding,10046.918894382805,3.5963767121103514,1.0,1,10,58.63,151.21,1.1196571622311797
2007-10-24 16:00:00,1,1407,holding,10046.998807533726,3.6762898630313856,1.0,1,10,58.94,151.48,1.1196571622311797
2007-10-25 09:30:00,1,1408,holding,10045.997271369492,2.6747536987962395,1.0,1,10,59.03,151.65,1.1201015257857005
2007-10-25 16:00:00,1,1409,holding,10051.172025068287,7.849507397592408,1.0,1,10,59.76,151.84,1.1201015257857005
2007-10-26 09:30:00,1,1410,holding,10044.025706713188,0.7031890424941545,1.0,1,10,60.41,153.06,1.1279604268209462
2007-10-26 16:00:00,1,1411,holding,10040.361822878062,-2.960694792632883,1.0,1,10,60.67,153.62,1.1279604268209462
2007-10-29 09:30:00,1,1412,closing,10037.694315755045,-5.628201915649695,1.0,1,10,60.75,153.93,1.1241677790540132
2008-04-25 09:30:00,2,1658,opening,10037.694315755045,0.0,-1.0,-1,10,46.84,139.41,1.2640702769231653
2008-04-25 16:00:00,2,1659,holding,10030.796049281198,-6.898266473846012,-1.0,-1,10,47.77,139.6,1.2640702769231653
2008-04-28 09:30:00,2,1660,holding,10033.035446056583,-4.658869698461089,-1.0,-1,10,47.9,139.88,1.264188278239184
2008-04-28 16:00:00,2,1661,holding,10029.975270364275,-7.719045390769022,-1.0,-1,10,47.89,139.63,1.264188278239184
2008-04-29 09:30:00,2,1662,holding,10025.04150169966,-12.652814055384711,-1.0,-1,10,48.08,139.39,1.2680798719074835
2008-04-29 16:00:00,2,1663,holding,10021.8228838412,-15.871431913846191,-1.0,-1,10,48.01,139.08,1.2680798719074835
2008-04-30 09:30:00,2,1664,closing,10019.377431422738,-18.31688433230785,-1.0,-1,10,48.52,139.29,1.2683802291768562
2008-07-22 09:30:00,3,1778,opening,10019.377431422738,0.0,-1.0,-1,10,36.38,125.15,1.386599523230091
2008-07-22 16:00:00,3,1779,holding,10035.585200313999,16.207768891261104,-1.0,-1,10,37.99,127.48,1.386599523230091
2008-07-23 09:30:00,3,1780,holding,10037.670258359241,18.292826936504433,-1.0,-1,10,38.35,127.89,1.3915222137420167
2008-07-23 16:00:00,3,1781,holding,10031.652737024286,12.275305601548485,-1.0,-1,10,39.34,128.17,1.3915222137420167
2008-07-24 09:30:00,3,1782,holding,10032.009956213777,12.632524791039907,-1.0,-1,10,39.54,128.34,1.3923961441920605
2008-07-24 16:00:00,3,1783,holding,10024.069189706366,4.6917582836283795,-1.0,-1,10,36.41,125.51,1.3923961441920605
2008-07-25 09:30:00,3,1784,holding,10026.138267894641,6.760836471902659,-1.0,-1,10,36.73,125.89,1.4024266354880202
2008-07-25 16:00:00,3,1785,holding,10021.553209849397,2.1757784266593276,-1.0,-1,10,36.62,125.48,1.4024266354880202
2008-07-28 09:30:00,3,1786,closing,10023.069189706366,3.6917582836283653,-1.0,-1,10,36.51,125.51,1.4030182013990344
2008-10-21 09:30:00,4,1906,opening,10023.069189706366,0.0,-1.0,-1,10,25.28,96.97,1.4920650117019767
2008-10-21 16:00:00,4,1907,holding,9995.407268076475,-27.66192162989193,-1.0,-1,10,26.39,95.86,1.4920650117019767
2008-10-22 09:30:00,4,1908,holding,9968.118338765202,-54.95085094116444,-1.0,-1,10,25.15,93.2,1.4795019686866324
2008-10-22 16:00:00,4,1909,holding,9931.22147446563,-91.84771524073508,-1.0,-1,10,25.02,90.64,1.4795019686866324
2008-10-23 09:30:00,4,1910,holding,9924.599246924674,-98.46994278169193,-1.0,-1,10,25.16,90.29,1.471317172775971
