date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2007-07-24 09:30:00,0,1276,opening,10000.0,0.0,1.0,1,158.73015873015873,63.0,153.12,1.1908556004269082
2007-07-24 16:00:00,0,1277,holding,10053.548760758249,53.54876075824862,1.0,1,158.73015873015873,61.17,151.3,1.1908556004269082
2007-07-25 09:30:00,0,1278,holding,9998.403358804697,-1.5966411953028543,1.0,1,158.73015873015873,61.68,152.02,1.1857439081406869
2007-07-25 16:00:00,0,1279,holding,10083.839993118194,83.83999311819323,1.0,1,158.73015873015873,61.73,151.61,1.1857439081406869
2007-07-26 09:30:00,0,1280,holding,10260.19157289696,260.19157289695994,1.0,1,158.73015873015873,61.15,150.19,1.1911622286175558
2007-07-26 16:00:00,0,1281,holding,10529.105327329718,529.105327329718,1.0,1,158.73015873015873,60.26,148.02,1.1911622286175558
2007-07-27 09:30:00,0,1282,closing,10551.92079334859,551.9207933485901,1.0,1,158.73015873015873,60.63,148.21,1.1881952965157485
2007-10-23 09:30:00,1,1404,opening,10551.92079334859,0.0,1.0,1,180.22067964728592,58.55,151.46,1.118550684844119
2007-10-23 16:00:00,1,1405,holding,10511.269278717033,-40.651514631558484,1.0,1,180.22067964728592,58.66,151.76,1.118550684844119
2007-10-24 09:30:00,1,1406,holding,10616.73493888101,64.8141455324199,1.0,1,180.22067964728592,58.63,151.21,1.1196571622311797
2007-10-24 16:00:00,1,1407,holding,10618.175139118184,66.2543457695944,1.0,1,180.22067964728592,58.94,151.48,1.1196571622311797
2007-10-25 09:30:00,1,1408,holding,10600.125386297206,48.204592948615016,1.0,1,180.22067964728592,59.03,151.65,1.1201015257857005
2007-10-25 16:00:00,1,1409,holding,10693.38514915764,141.46435580905023,1.0,1,180.22067964728592,59.76,151.84,1.1201015257857005
2007-10-26 09:30:00,1,1410,closing,10564.593714064473,12.672920715882073,1.0,1,180.22067964728592,60.41,153.06,1.1279604268209462
2008-04-25 09:30:00,2,1658,opening,10564.593714064473,0.0,-1.0,-1,225.5464072174311,46.84,139.41,1.2640702769231653
2008-04-25 16:00:00,2,1659,holding,10409.005792144031,-155.5879219204425,-1.0,-1,225.5464072174311,47.77,139.6,1.2640702769231653
2008-04-28 09:30:00,2,1660,closing,10459.514581846268,-105.07913221820552,-1.0,-1,225.5464072174311,47.9,139.88,1.264188278239184
2008-07-22 09:30:00,3,1778,opening,10459.514581846268,0.0,-1.0,-1,287.5072727280447,36.38,125.15,1.386599523230091
2008-07-22 16:00:00,3,1779,holding,10925.49972493956,465.9851430932925,-1.0,-1,287.5072727280447,37.99,127.48,1.386599523230091
2008-07-23 09:30:00,3,1780,holding,10985.446660146317,525.9320783000503,-1.0,-1,287.5072727280447,38.35,127.89,1.3915222137420167
2008-07-23 16:00:00,3,1781,holding,10812.438545386718,352.9239635404495,-1.0,-1,287.5072727280447,39.34,128.17,1.3915222137420167
2008-07-24 09:30:00,3,1782,holding,10822.708856880397,363.19427503412965,-1.0,-1,287.5072727280447,39.54,128.34,1.3923961441920605
2008-07-24 16:00:00,3,1783,holding,10594.406044688789,134.89146284252075,-1.0,-1,287.5072727280447,36.41,125.51,1.3923961441920605
2008-07-25 09:30:00,3,1784,closing,10653.893547385971,194.3789655397029,-1.0,-1,287.5072727280447,36.73,125.89,1.4024266354880202
2008-10-21 09:30:00,4,1906,opening,10653.893547385971,0.0,-1.0,-1,421.43566247571084,25.28,96.97,1.4920650117019767
2008-10-21 16:00:00,4,1907,holding,9488.1215206415,-1165.7720267444702,-1.0,-1,421.43566247571084,26.39,95.86,1.4920650117019767
2008-10-22 09:30:00,4,1908,holding,8338.068720386604,-2315.8248269993674,-1.0,-1,421.43566247571084,25.15,93.2,1.4795019686866324
2008-10-22 16:00:00,4,1909,holding,6783.103275450008,-3870.790271935963,-1.0,-1,421.43566247571084,25.02,90.64,1.4795019686866324
2008-10-23 09:30:00,4,1910,holding,6504.0189903712035,-4149.874557014768,-1.0,-1,421.43566247571084,25.16,90.29,1.471317172775971
2008-10-23 16:00:00,4,1911,holding,7649.8566270597275,-3004.036920326243,-1.0,-1,421.43566247571084,24.53,91.69,1.471317172775971
2008-10-24 09:30:00,4,1912,closing,3673.8403960452306,-6980.05315134074,-1.0,-1,421.43566247571084,22.58,84.06,1.470534661762834
2009-01-27 09:30:00,5,2038,opening,3673.8403960452306,0.0,-1.0,-1,228.33066476353204,16.09,84.13,1.420366724858176
2009-01-27 16:00:00,5,2039,holding,3668.850615232696,-4.989780812534782,-1.0,-1,228.33066476353204,16.68,84.53,1.420366724858176
2009-01-28 09:30:00,5,2040,holding,4019.5861014829447,345.745705437714,-1.0,-1,228.33066476353204,17.8,86.4,1.4283811485643838
2009-01-28 16:00:00,5,2041,holding,4329.239713954686,655.3993179094551,-1.0,-1,228.33066476353204,17.85,87.39,1.4283811485643838
2009-01-29 09:30:00,5,2042,holding,4048.8338096917378,374.99341364650724,-1.0,-1,228.33066476353204,17.26,86.11,1.429052624691444
2009-01-29 16:00:00,5,2043,holding,3668.4869608596855,-5.353435185544916,-1.0,-1,228.33066476353204,16.71,84.55,1.429052624691444
2009-01-30 09:30:00,5,2044,closing,3755.4256177168686,81.58522167163814,-1.0,-1,228.33066476353204,16.94,84.98,1.429318592610181
2009-04-27 09:30:00,6,2162,opening,3755.4256177168686,0.0,-1.0,-1,154.92679941076193,24.24,85.68,1.5488111074579596
2009-04-27 16:00:00,6,2163,holding,3795.367261354223,39.94164363735439,-1.0,-1,154.92679941076193,24.23,85.84,1.5488111074579596
2009-04-28 09:30:00,6,2164,closing,3681.1140664346262,-74.31155128224243,-1.0,-1,154.92679941076193,23.62,84.97,1.5492427183156863
2009-07-24 09:30:00,7,2286,opening,3681.1140664346262,0.0,-1.0,-1,128.71028204316875,28.6,97.2,1.5847443686646463
2009-07-24 16:00:00,7,2287,holding,3739.4043991804915,58.29033274586532,-1.0,-1,128.71028204316875,29.51,98.06,1.5847443686646463
2009-07-27 09:30:00,7,2288,closing,3705.263483783067,24.14941734844069,-1.0,-1,128.71028204316875,29.49,97.88,1.585383587113213
2009-10-23 09:30:00,8,2414,opening,3705.263483783067,0.0,-1.0,-1,102.38362762594825,36.19,109.69,1.5936173985623339
