date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2007-07-26 09:30:00,0,1280,opening,10000.0,0.0,1.0,2,10,106.06,150.19,0.8972584146549807
2007-07-26 16:00:00,0,1281,holding,9995.870507598012,-4.129492401987025,1.0,2,10,103.7,148.02,0.8972584146549807
2007-07-27 09:30:00,0,1282,holding,9993.165716610169,-6.834283389831555,1.0,2,10,103.6,148.21,0.8816092323590867
2007-07-27 16:00:00,0,1283,holding,10022.080727464472,22.080727464472787,1.0,2,10,103.71,145.11,0.8816092323590867
2007-07-30 09:30:00,0,1284,closing,10023.623208464302,23.623208464302014,1.0,2,10,104.6,145.93,0.8767927844676959
2008-10-23 09:30:00,1,1910,opening,10023.623208464302,0.0,-1.0,-2,10,43.2,90.29,0.9160706783650348
2008-10-23 16:00:00,1,1911,holding,10003.248197961411,-20.375010502889594,-1.0,-2,10,46.52,91.69,0.9160706783650348
2008-10-24 09:30:00,1,1912,holding,9973.55200520216,-50.07120326214167,-1.0,-2,10,42.5,84.06,0.8977231869937543
2008-10-24 16:00:00,1,1913,holding,9973.450911417438,-50.17229704686362,-1.0,-2,10,45.24,87.04,0.8977231869937543
2008-10-27 09:30:00,1,1914,closing,9959.048955158933,-64.57425330536957,-1.0,-2,10,45.7,85.97,0.9049472719386017
2010-04-22 09:30:00,2,2660,opening,9959.048955158933,0.0,1.0,2,10,74.46,119.81,0.883253213999008
2010-04-22 16:00:00,2,2661,holding,9959.661591269545,0.6126361106121547,1.0,2,10,75.59,121.02,0.883253213999008
2010-04-23 09:30:00,2,2662,holding,9954.868193840744,-4.180761318188625,1.0,2,10,75.04,120.94,0.8832276247026921
2010-04-23 16:00:00,2,2663,holding,9948.083890878952,-10.965064279980144,1.0,2,10,75.13,121.81,0.8832276247026921
2010-04-26 09:30:00,2,2664,closing,9942.230589593353,-16.818365565579647,1.0,2,10,74.58,121.85,0.8827433772799927
2011-07-28 09:30:00,3,3300,opening,9942.230589593353,0.0,1.0,2,10,71.0,130.6,0.9149733193510149
2011-07-28 16:00:00,3,3301,holding,9942.307488206887,0.07689861353378069,1.0,2,10,70.66,130.22,0.9149733193510149
2011-07-29 09:30:00,3,3302,holding,9947.693638690385,5.4630490970321315,1.0,2,10,70.0,128.91,0.9150239964107985
2011-07-29 16:00:00,3,3303,holding,9948.550750749111,6.320161155757711,1.0,2,10,70.47,129.33,0.9150239964107985
2011-08-01 09:30:00,3,3304,closing,9946.13465362691,3.904064033557475,1.0,2,10,71.61,130.84,0.9157761421723997
2011-10-27 09:30:00,4,3428,opening,9946.13465362691,0.0,1.0,2,10,68.59,127.63,0.9311762630412459
2011-10-27 16:00:00,4,3429,holding,9925.822890996498,-20.311762630412545,1.0,2,10,67.49,128.63,0.9311762630412459
2011-10-28 09:30:00,4,3430,holding,9932.289301453657,-13.845352173252714,1.0,2,10,67.55,128.0,0.9309955168738365
2011-10-28 16:00:00,4,3431,holding,9932.902243875411,-13.232409751500091,1.0,2,10,68.17,128.6,0.9309955168738365
2011-10-31 09:30:00,4,3432,closing,9935.811182063204,-10.323471563706143,1.0,2,10,67.12,127.16,0.9314257514791092
2012-04-26 09:30:00,5,3676,opening,9935.811182063204,0.0,1.0,2,10,76.71,138.89,0.936363484665021
2012-04-26 16:00:00,5,3677,holding,9926.719365807958,-9.09181625524585,1.0,2,10,76.99,140.16,0.936363484665021
2012-04-27 09:30:00,5,3678,holding,9925.686639172365,-10.124542890839026,1.0,2,10,77.28,140.58,0.9362835238787672
2012-04-27 16:00:00,5,3679,holding,9927.365729793228,-8.445452269975291,1.0,2,10,77.27,140.39,0.9362835238787672
2012-04-30 09:30:00,5,3680,closing,9922.38754755029,-13.423634512913399,1.0,2,10,76.51,140.11,0.936314005260432
2014-10-23 09:30:00,6,4930,opening,9922.38754755029,0.0,1.0,2,10,121.27,194.62,1.0886603125545065
2014-10-23 16:00:00,6,4931,holding,9926.61270058137,4.2251530310810566,1.0,2,10,122.03,194.93,1.0886603125545065
2014-10-24 09:30:00,6,4932,holding,9924.828987581197,2.4414400309067275,1.0,2,10,122.2,195.25,1.0883150497418992
2014-10-24 16:00:00,6,4933,holding,9912.382795893054,-10.004751657236604,1.0,2,10,122.24,196.43,1.0883150497418992
2014-10-27 09:30:00,6,4934,closing,9918.903418080936,-3.4841294693548663,1.0,2,10,122.13,195.73,1.0883518431690333
2015-01-28 16:00:00,7,5061,opening,9918.903418080936,0.0,1.0,2,10,139.64,200.14,1.0816293713820706
2015-01-29 09:30:00,7,5062,holding,9916.80750758962,-2.095910491316954,1.0,2,10,139.69,200.38,1.074928937001767
2015-01-29 16:00:00,7,5063,holding,9980.293274710368,61.3898566294316,1.0,2,10,147.78,201.99,1.074928937001767
2015-01-30 09:30:00,7,5064,holding,9980.052411783992,61.148993703057144,1.0,2,10,146.22,200.57,1.071708337154463
2015-01-30 16:00:00,7,5065,holding,9983.666660743473,64.76324266253644,1.0,2,10,145.37,199.45,1.071708337154463
2015-02-02 09:30:00,7,5066,closing,9960.67688451518,41.773466434243716,1.0,2,10,143.72,200.05,1.0740472807438195
2015-10-21 16:00:00,8,5431,opening,9960.67688451518,0.0,1.0,2,10,141.19,201.85,1.0341285667035411
2015-10-22 09:30:00,8,5432,holding,9957.09123171143,-3.5856528037499458,1.0,2,10,142.0,202.98,1.034155900294093
2015-10-22 16:00:00,8,5433,holding,9976.61310039059,15.93621587540933,1.0,2,10,146.31,205.26,1.034155900294093
2015-10-23 09:30:00,8,5434,holding,9966.63394191319,5.957057398008789,1.0,2,10,147.37,207.25,1.0359938786364278
2015-10-23 16:00:00,8,5435,holding,9957.24520763976,-3.431676875420484,1.0,2,10,146.7,207.51,1.0359938786364278
2015-10-26 09:30:00,8,5436,closing,9954.516877629838,-6.160006885343066,1.0,2,10,146.21,207.3,1.035983470942318
2017-10-25 16:00:00,9,6445,opening,9954.516877629838,0.0,1.0,2,10,258.42,255.29,1.0230460485771387
2017-10-26 09:30:00,9,6446,holding,9960.355555289798,5.838677659959969,1.0,2,10,259.72,255.99,1.0230612803396977
2017-10-26 16:00:00,9,6447,holding,9959.640825669532,5.123948039694973,1.0,2,10,259.27,255.62,1.0230612803396977
2017-10-27 09:30:00,9,6448,holding,9940.844934256627,-13.671943373210846,1.0,2,10,258.26,256.47,1.0229101989495248
2017-10-27 16:00:00,9,6449,holding,9910.159163254271,-44.35771437556699,1.0,2,10,256.46,257.71,1.0229101989495248
2017-10-30 09:30:00,9,6450,closing,9906.606657965165,-47.91021966467335,1.0,2,10,255.45,257.07,1.0226108305358217
2018-04-25 16:00:00,10,6693,opening,9906.606657965165,0.0,1.0,2,10,342.86,263.63,1.096737413513403
2018-04-26 09:30:00,10,6694,holding,9905.38450396841,-1.2221539967559747,1.0,2,10,344.01,264.79,1.0978817597270212
2018-04-26 16:00:00,10,6695,holding,9876.514095283006,-30.092562682159205,1.0,2,10,342.79,266.31,1.0978817597270212
2018-04-27 09:30:00,10,6696,holding,9853.546607129763,-53.06005083540187,1.0,2,10,341.25,267.0,1.0961212881819775
2018-04-27 16:00:00,10,6697,holding,9854.672251749222,-51.93440621594297,1.0,2,10,340.88,266.56,1.0961212881819775
2018-04-30 09:30:00,10,6698,closing,9849.895089854628,-56.711568110536454,1.0,2,10,341.17,267.26,1.0962887315212468
2020-01-29 16:00:00,11,7579,opening,9849.895089854628,0.0,-1.0,-2,10,322.02,326.62,1.177573854150678
2020-01-30 09:30:00,11,7580,holding,9838.481920750823,-11.413169103805396,-1.0,-2,10,320.5,324.36,1.1758641519466266
2020-01-30 16:00:00,11,7581,holding,9849.577372708625,-0.31771714600308254,-1.0,-2,10,323.3,327.68,1.1758641519466266
2020-01-31 09:30:00,11,7582,holding,9857.0698705004,7.174780645772341,-1.0,-2,10,321.75,327.0,1.1854239575407106
2020-01-31 16:00:00,11,7583,holding,9829.81172838666,-20.083361467967997,-1.0,-2,10,318.27,321.73,1.1854239575407106
2020-02-03 09:30:00,11,7584,closing,9844.088424823902,-5.806665030727136,-1.0,-2,10,318.75,323.35,1.1846682877555157
2020-04-30 09:30:00,12,7706,opening,9844.088424823902,0.0,-1.0,-2,10,137.67,291.71,1.5454401679386864
2020-04-30 16:00:00,12,7707,holding,9791.579510758256,-52.50891406564548,-1.0,-2,10,141.02,290.48,1.5454401679386864
2020-05-01 09:30:00,12,7708,holding,9689.580254075827,-154.5081707480756,-1.0,-2,10,143.23,285.31,1.5332941000112454
2020-05-01 16:00:00,12,7709,holding,9749.235161843771,-94.85326298013037,-1.0,-2,10,133.37,282.79,1.5332941000112454
2020-05-04 09:30:00,12,7710,closing,9780.103638401028,-63.98478642287351,-1.0,-2,10,127.115,280.74,1.5435892942661267
2020-10-29 09:30:00,13,7960,opening,9780.103638401028,0.0,-1.0,-2,10,148.03,326.91,1.668260665293519
2020-10-29 16:00:00,13,7961,holding,9828.719240825538,48.61560242451101,-1.0,-2,10,148.29,329.98,1.668260665293519
2020-10-30 09:30:00,13,7962,holding,9811.258809515548,31.155171114520464,-1.0,-2,10,147.2,328.28,1.6685109392637487
2020-10-30 16:00:00,13,7963,holding,9810.331073939442,30.22743553841405,-1.0,-2,10,144.39,326.54,1.6685109392637487
2020-11-02 09:30:00,13,7964,closing,9857.789414289184,77.68577588815619,-1.0,-2,10,145.75,330.2,1.6679261780093193
2021-01-27 16:00:00,14,8081,opening,9857.789414289184,0.0,-1.0,-2,10,194.03,374.41,1.7197408361278057
2021-01-28 09:30:00,14,8082,holding,9851.174360593675,-6.6150536955078465,-1.0,-2,10,198.045,376.36,1.719945655050169
2021-01-28 16:00:00,14,8083,holding,9881.165069212499,23.375654923314954,-1.0,-2,10,197.23,377.63,1.719945655050169
2021-01-29 09:30:00,14,8084,holding,9836.070252489943,-21.719161799241384,-1.0,-2,10,198.3,375.63,1.720116866233446
2021-01-29 16:00:00,14,8085,holding,9781.552662001237,-76.23675228794728,-1.0,-2,10,194.19,370.07,1.720116866233446
2021-02-01 09:30:00,14,8086,closing,9826.223202519903,-31.566211769281807,-1.0,-2,10,196.0,373.72,1.7202368618762702
2024-01-31 16:00:00,15,9595,opening,9826.223202519903,0.0,-1.0,-2,10,211.04,482.88,1.5558117575431547
2024-02-01 09:30:00,15,9596,holding,9825.449908276907,-0.7732942429949041,-1.0,-2,10,213.84,484.63,1.551942328325733
2024-02-01 16:00:00,15,9597,holding,9936.85050559663,110.62730307672717,-1.0,-2,10,209.81,489.2,1.551942328325733
2024-02-02 09:30:00,15,9598,holding,9951.351658505573,125.12845598567118,-1.0,-2,10,209.06,489.65,1.5506280892838158
2024-02-02 16:00:00,15,9599,holding,10021.274811110103,195.05160859020023,-1.0,-2,10,209.38,494.35,1.5506280892838158
2024-02-05 09:30:00,15,9600,closing,10058.562034686072,232.33883216616928,-1.0,-2,10,204.64,493.7,1.5501251061001937
